[2026-07-06  9:25:02,18] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260706_092503.csv
Output ticks   : logs\tick_ofi\tick_raw_20260706_092503.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260706_092503.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260706_092503.csv

[RUN] 32.0min | ticks=118576 | grp1: AAPL ofi1m=+0.23 cnt=487 | MSFT ofi1m=+0.35 cnt=291 | NVDA ofi1m=-0.36 cnt=2372
[RUN] 33.1min | ticks=121250 | grp1: AAPL ofi1m=-0.27 cnt=458 | MSFT ofi1m=-0.11 cnt=329 | NVDA ofi1m=+0.23 cnt=1309
[RUN] 34.1min | ticks=123548 | grp1: AAPL ofi1m=-0.09 cnt=509 | MSFT ofi1m=-0.01 cnt=463 | NVDA ofi1m=-0.09 cnt=837
[RUN] 35.1min | ticks=127792 | grp1: AAPL ofi1m=+0.00 cnt=689 | MSFT ofi1m=-0.30 cnt=405 | NVDA ofi1m=-0.09 cnt=1986
[RUN] 36.1min | ticks=131043 | grp1: AAPL ofi1m=-0.52 cnt=629 | MSFT ofi1m=-0.04 cnt=391 | NVDA ofi1m=+0.01 cnt=1603
[RUN] 37.1min | ticks=133942 | grp1: AAPL ofi1m=-0.03 cnt=577 | MSFT ofi1m=-0.06 cnt=428 | NVDA ofi1m=+0.08 cnt=1238
[RUN] 38.1min | ticks=136296 | grp1: AAPL ofi1m=+0.20 cnt=344 | MSFT ofi1m=+0.03 cnt=463 | NVDA ofi1m=+0.02 cnt=922
[RUN] 39.1min | ticks=138424 | grp1: AAPL ofi1m=-0.46 cnt=432 | MSFT ofi1m=-0.15 cnt=362 | NVDA ofi1m=-0.02 cnt=927
[RUN] 40.1min | ticks=140819 | grp1: AAPL ofi1m=+0.41 cnt=473 | MSFT ofi1m=+0.56 cnt=344 | NVDA ofi1m=+0.02 cnt=946
[RUN] 41.1min | ticks=144397 | grp1: AAPL ofi1m=-0.47 cnt=563 | MSFT ofi1m=+0.46 cnt=366 | NVDA ofi1m=+0.28 cnt=2125
[RUN] 42.1min | ticks=148031 | grp1: AAPL ofi1m=+0.01 cnt=550 | MSFT ofi1m=-0.29 cnt=604 | NVDA ofi1m=-0.02 cnt=1543
[RUN] 43.1min | ticks=150628 | grp1: AAPL ofi1m=-0.17 cnt=574 | MSFT ofi1m=+0.49 cnt=406 | NVDA ofi1m=+0.08 cnt=935
[RUN] 44.1min | ticks=154165 | grp1: AAPL ofi1m=-0.19 cnt=567 | MSFT ofi1m=+0.52 cnt=399 | NVDA ofi1m=+0.09 cnt=1867
[RUN] 45.1min | ticks=156913 | grp1: AAPL ofi1m=-0.31 cnt=634 | MSFT ofi1m=+0.04 cnt=245 | NVDA ofi1m=-0.11 cnt=1264
[RUN] 46.1min | ticks=159770 | grp1: AAPL ofi1m=-0.13 cnt=636 | MSFT ofi1m=+0.47 cnt=327 | NVDA ofi1m=+0.02 cnt=1368
[RUN] 47.1min | ticks=162265 | grp1: AAPL ofi1m=-0.16 cnt=577 | MSFT ofi1m=+0.29 cnt=268 | NVDA ofi1m=+0.12 cnt=1017
[RUN] 48.1min | ticks=164973 | grp1: AAPL ofi1m=+0.02 cnt=617 | MSFT ofi1m=+0.33 cnt=302 | NVDA ofi1m=-0.11 cnt=1089
[RUN] 49.2min | ticks=167510 | grp1: AAPL ofi1m=+0.18 cnt=649 | MSFT ofi1m=+0.11 cnt=450 | NVDA ofi1m=+0.20 cnt=845
[RUN] 50.2min | ticks=171562 | grp1: AAPL ofi1m=+0.55 cnt=2588 | MSFT ofi1m=+0.21 cnt=280 | NVDA ofi1m=-0.23 cnt=774
[RUN] 51.2min | ticks=173819 | grp1: AAPL ofi1m=-0.13 cnt=513 | MSFT ofi1m=-0.66 cnt=461 | NVDA ofi1m=+0.15 cnt=857
[RUN] 52.2min | ticks=176105 | grp1: AAPL ofi1m=+0.07 cnt=1020 | MSFT ofi1m=+0.50 cnt=189 | NVDA ofi1m=+0.16 cnt=722
[RUN] 53.2min | ticks=178805 | grp1: AAPL ofi1m=-0.00 cnt=1110 | MSFT ofi1m=+0.50 cnt=287 | NVDA ofi1m=-0.17 cnt=813
[RUN] 54.2min | ticks=181156 | grp1: AAPL ofi1m=+0.04 cnt=925 | MSFT ofi1m=-0.07 cnt=229 | NVDA ofi1m=-0.12 cnt=769
[RUN] 55.2min | ticks=183332 | grp1: AAPL ofi1m=+0.05 cnt=707 | MSFT ofi1m=+0.01 cnt=265 | NVDA ofi1m=-0.09 cnt=795
[RUN] 56.2min | ticks=185550 | grp1: AAPL ofi1m=+0.23 cnt=807 | MSFT ofi1m=+0.09 cnt=237 | NVDA ofi1m=-0.43 cnt=761
[RUN] 57.2min | ticks=188823 | grp1: AAPL ofi1m=-0.15 cnt=738 | MSFT ofi1m=+0.03 cnt=195 | NVDA ofi1m=-0.14 cnt=1950
[RUN] 58.2min | ticks=191108 | grp1: AAPL ofi1m=+0.16 cnt=560 | MSFT ofi1m=-0.17 cnt=353 | NVDA ofi1m=-0.31 cnt=994
[RUN] 59.2min | ticks=193532 | grp1: AAPL ofi1m=-0.27 cnt=527 | MSFT ofi1m=-0.44 cnt=193 | NVDA ofi1m=-0.17 cnt=1300
[RUN] 60.2min | ticks=195602 | grp1: AAPL ofi1m=-0.04 cnt=539 | MSFT ofi1m=+0.56 cnt=217 | NVDA ofi1m=+0.22 cnt=770
[RUN] 61.2min | ticks=197585 | grp1: AAPL ofi1m=+0.09 cnt=479 | MSFT ofi1m=+0.19 cnt=273 | NVDA ofi1m=+0.01 cnt=634
[RUN] 62.2min | ticks=199449 | grp1: AAPL ofi1m=-0.03 cnt=560 | MSFT ofi1m=+0.54 cnt=214 | NVDA ofi1m=-0.07 cnt=624
[RUN] 63.2min | ticks=201644 | grp1: AAPL ofi1m=+0.20 cnt=846 | MSFT ofi1m=+0.65 cnt=304 | NVDA ofi1m=+0.20 cnt=664
[RUN] 64.2min | ticks=203538 | grp1: AAPL ofi1m=-0.14 cnt=623 | MSFT ofi1m=-0.09 cnt=306 | NVDA ofi1m=-0.42 cnt=549
[RUN] 65.2min | ticks=205886 | grp1: AAPL ofi1m=+0.24 cnt=921 | MSFT ofi1m=-0.18 cnt=179 | NVDA ofi1m=+0.11 cnt=714
