[2026-07-07  9:25:01,57] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260707_092501.csv
Output ticks   : logs\tick_ofi\tick_raw_20260707_092501.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260707_092501.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260707_092501.csv

[RUN] 0.9min | ticks=366 | grp1: AAPL ofi1m=-0.75 cnt=138 | MSFT ofi1m=+1.00 cnt=42 | NVDA ofi1m=-0.91 cnt=136
[RUN] 1.9min | ticks=550 | grp1: AAPL ofi1m=+0.99 cnt=19 | MSFT ofi1m=+0.77 cnt=43 | NVDA ofi1m=+0.08 cnt=69
[RUN] 2.9min | ticks=1436 | grp1: AAPL ofi1m=+0.46 cnt=235 | MSFT ofi1m=+0.92 cnt=215 | NVDA ofi1m=+0.50 cnt=248
[RUN] 3.9min | ticks=1932 | grp1: AAPL ofi1m=+0.16 cnt=115 | MSFT ofi1m=+1.00 cnt=73 | NVDA ofi1m=+0.03 cnt=165
[RUN] 4.9min | ticks=6760 | grp1: AAPL ofi1m=-0.98 cnt=1153 | MSFT ofi1m=+0.98 cnt=1064 | NVDA ofi1m=+0.94 cnt=1546
[RUN] 5.9min | ticks=22380 | grp1: AAPL ofi1m=+0.20 cnt=2807 | MSFT ofi1m=+0.18 cnt=2149 | NVDA ofi1m=-0.04 cnt=6601
[RUN] 6.9min | ticks=31453 | grp1: AAPL ofi1m=+0.26 cnt=1331 | MSFT ofi1m=-0.02 cnt=3363 | NVDA ofi1m=+0.08 cnt=2926
[RUN] 7.9min | ticks=42921 | grp1: AAPL ofi1m=+0.01 cnt=879 | MSFT ofi1m=+0.17 cnt=4565 | NVDA ofi1m=+0.25 cnt=4059
[RUN] 8.9min | ticks=53735 | grp1: AAPL ofi1m=-0.18 cnt=874 | MSFT ofi1m=+0.10 cnt=4909 | NVDA ofi1m=+0.04 cnt=3146
[RUN] 9.9min | ticks=65944 | grp1: AAPL ofi1m=+0.05 cnt=1141 | MSFT ofi1m=+0.12 cnt=5306 | NVDA ofi1m=+0.06 cnt=3811
[RUN] 11.0min | ticks=74648 | grp1: AAPL ofi1m=+0.04 cnt=757 | MSFT ofi1m=+0.11 cnt=3796 | NVDA ofi1m=-0.10 cnt=2601
[RUN] 12.0min | ticks=85348 | grp1: AAPL ofi1m=-0.16 cnt=1107 | MSFT ofi1m=-0.14 cnt=4905 | NVDA ofi1m=-0.06 cnt=3102
[RUN] 13.0min | ticks=94184 | grp1: AAPL ofi1m=-0.14 cnt=928 | MSFT ofi1m=+0.24 cnt=4037 | NVDA ofi1m=+0.16 cnt=2356
[RUN] 14.0min | ticks=99744 | grp1: AAPL ofi1m=-0.04 cnt=1047 | MSFT ofi1m=-0.34 cnt=792 | NVDA ofi1m=-0.09 cnt=2441
[RUN] 15.0min | ticks=104649 | grp1: AAPL ofi1m=+0.20 cnt=754 | MSFT ofi1m=-0.15 cnt=589 | NVDA ofi1m=+0.11 cnt=2381
[RUN] 16.0min | ticks=108446 | grp1: AAPL ofi1m=+0.21 cnt=644 | MSFT ofi1m=+0.33 cnt=582 | NVDA ofi1m=+0.28 cnt=1641
[RUN] 17.0min | ticks=112250 | grp1: AAPL ofi1m=-0.12 cnt=593 | MSFT ofi1m=-0.30 cnt=716 | NVDA ofi1m=+0.14 cnt=1563
[RUN] 18.0min | ticks=116525 | grp1: AAPL ofi1m=-0.11 cnt=683 | MSFT ofi1m=-0.27 cnt=947 | NVDA ofi1m=+0.10 cnt=1809
[RUN] 19.0min | ticks=120446 | grp1: AAPL ofi1m=-0.00 cnt=592 | MSFT ofi1m=-0.17 cnt=558 | NVDA ofi1m=+0.15 cnt=2139
[RUN] 20.0min | ticks=124707 | grp1: AAPL ofi1m=-0.44 cnt=469 | MSFT ofi1m=+0.19 cnt=527 | NVDA ofi1m=+0.07 cnt=2426
[RUN] 21.0min | ticks=127988 | grp1: AAPL ofi1m=+0.06 cnt=397 | MSFT ofi1m=+0.52 cnt=412 | NVDA ofi1m=+0.29 cnt=1751
[RUN] 22.0min | ticks=131569 | grp1: AAPL ofi1m=+0.04 cnt=318 | MSFT ofi1m=+0.33 cnt=429 | NVDA ofi1m=-0.06 cnt=1673
[RUN] 23.1min | ticks=135136 | grp1: AAPL ofi1m=+0.06 cnt=378 | MSFT ofi1m=+0.36 cnt=439 | NVDA ofi1m=+0.03 cnt=1980
[RUN] 24.1min | ticks=138023 | grp1: AAPL ofi1m=-0.34 cnt=469 | MSFT ofi1m=+0.49 cnt=267 | NVDA ofi1m=+0.29 cnt=1259
[RUN] 25.1min | ticks=141120 | grp1: AAPL ofi1m=-0.56 cnt=458 | MSFT ofi1m=-0.15 cnt=411 | NVDA ofi1m=-0.06 cnt=1633
[RUN] 26.1min | ticks=143888 | grp1: AAPL ofi1m=+0.27 cnt=363 | MSFT ofi1m=+0.49 cnt=230 | NVDA ofi1m=-0.09 cnt=1359
[RUN] 27.1min | ticks=146900 | grp1: AAPL ofi1m=+0.46 cnt=270 | MSFT ofi1m=+0.05 cnt=239 | NVDA ofi1m=+0.07 cnt=1853
[RUN] 28.1min | ticks=150069 | grp1: AAPL ofi1m=-0.34 cnt=361 | MSFT ofi1m=+0.39 cnt=270 | NVDA ofi1m=-0.21 cnt=1332
