[2026-07-08  9:25:01,92] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260708_092502.csv
Output ticks   : logs\tick_ofi\tick_raw_20260708_092502.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260708_092502.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260708_092502.csv

[RUN] 32.0min | ticks=106233 | grp1: AAPL ofi1m=+0.39 cnt=249 | MSFT ofi1m=+0.25 cnt=153 | NVDA ofi1m=-0.12 cnt=923
[RUN] 33.0min | ticks=107701 | grp1: AAPL ofi1m=+0.20 cnt=252 | MSFT ofi1m=-0.32 cnt=246 | NVDA ofi1m=+0.29 cnt=583
[RUN] 34.0min | ticks=109150 | grp1: AAPL ofi1m=+0.20 cnt=344 | MSFT ofi1m=-0.24 cnt=112 | NVDA ofi1m=-0.04 cnt=616
[RUN] 35.0min | ticks=111562 | grp1: AAPL ofi1m=-0.43 cnt=644 | MSFT ofi1m=-0.13 cnt=309 | NVDA ofi1m=-0.22 cnt=936
[RUN] 36.0min | ticks=114179 | grp1: AAPL ofi1m=+0.12 cnt=415 | MSFT ofi1m=-0.60 cnt=189 | NVDA ofi1m=-0.14 cnt=1251
[RUN] 37.0min | ticks=116101 | grp1: AAPL ofi1m=+0.31 cnt=382 | MSFT ofi1m=+0.20 cnt=214 | NVDA ofi1m=-0.05 cnt=911
[RUN] 38.0min | ticks=117829 | grp1: AAPL ofi1m=-0.17 cnt=342 | MSFT ofi1m=-0.10 cnt=138 | NVDA ofi1m=+0.12 cnt=822
[RUN] 39.0min | ticks=119492 | grp1: AAPL ofi1m=+0.44 cnt=415 | MSFT ofi1m=+0.59 cnt=116 | NVDA ofi1m=-0.07 cnt=749
[RUN] 40.0min | ticks=121707 | grp1: AAPL ofi1m=+0.09 cnt=326 | MSFT ofi1m=+0.31 cnt=170 | NVDA ofi1m=+0.30 cnt=1200
[RUN] 41.0min | ticks=123260 | grp1: AAPL ofi1m=+0.26 cnt=290 | MSFT ofi1m=+0.20 cnt=192 | NVDA ofi1m=-0.32 cnt=676
[RUN] 42.1min | ticks=124910 | grp1: AAPL ofi1m=+0.40 cnt=234 | MSFT ofi1m=-0.10 cnt=171 | NVDA ofi1m=+0.03 cnt=808
[RUN] 43.1min | ticks=126925 | grp1: AAPL ofi1m=-0.20 cnt=669 | MSFT ofi1m=-0.03 cnt=232 | NVDA ofi1m=-0.10 cnt=734
[RUN] 44.1min | ticks=129017 | grp1: AAPL ofi1m=+0.34 cnt=583 | MSFT ofi1m=+0.24 cnt=192 | NVDA ofi1m=-0.33 cnt=933
[RUN] 45.1min | ticks=131284 | grp1: AAPL ofi1m=-0.04 cnt=504 | MSFT ofi1m=-0.06 cnt=195 | NVDA ofi1m=-0.31 cnt=1039
[RUN] 46.1min | ticks=133213 | grp1: AAPL ofi1m=+0.07 cnt=343 | MSFT ofi1m=+0.09 cnt=208 | NVDA ofi1m=-0.15 cnt=1048
[RUN] 47.1min | ticks=136560 | grp1: AAPL ofi1m=+0.11 cnt=667 | MSFT ofi1m=-0.24 cnt=154 | NVDA ofi1m=-0.04 cnt=2168
[RUN] 48.1min | ticks=139185 | grp1: AAPL ofi1m=-0.05 cnt=576 | MSFT ofi1m=-0.16 cnt=232 | NVDA ofi1m=-0.10 cnt=1389
[RUN] 49.1min | ticks=142002 | grp1: AAPL ofi1m=+0.34 cnt=502 | MSFT ofi1m=-0.15 cnt=218 | NVDA ofi1m=-0.22 cnt=1494
[RUN] 50.1min | ticks=143984 | grp1: AAPL ofi1m=+0.33 cnt=285 | MSFT ofi1m=-0.12 cnt=358 | NVDA ofi1m=+0.00 cnt=913
[RUN] 51.1min | ticks=146016 | grp1: AAPL ofi1m=-0.31 cnt=210 | MSFT ofi1m=-0.15 cnt=641 | NVDA ofi1m=-0.29 cnt=732
[RUN] 52.1min | ticks=147858 | grp1: AAPL ofi1m=-0.06 cnt=395 | MSFT ofi1m=-0.64 cnt=471 | NVDA ofi1m=-0.33 cnt=683
[RUN] 53.1min | ticks=150063 | grp1: AAPL ofi1m=+0.18 cnt=287 | MSFT ofi1m=-0.01 cnt=291 | NVDA ofi1m=-0.05 cnt=1189
[RUN] 54.1min | ticks=152254 | grp1: AAPL ofi1m=+0.28 cnt=222 | MSFT ofi1m=+0.41 cnt=227 | NVDA ofi1m=-0.21 cnt=1255
